,Name,appNo,appType,approvDate,Company,marketStat,reviewAvailable,reviewPageLink,medReviewAvailable,statReviewAvailable,sumReviewAvailable,PatientPopulationAltered,PPAReviewAvailable,PPAReviewLink
442,BEVESPI AEROSPHERE,208294,NDA,2016-04-25 00:00:00,PEARL THERAPS INC,Prescription,False,-,-,-,-,False,False,-
517,BETAPACE AF,21151,NDA,2000-02-22 00:00:00,COVIS PHARMA SARL,Prescription,True,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2000/021151_s000_BetapaceAFTOC.cfm,False,False,False,False,False,-
663,BENDEKA,208194,NDA,2015-12-07 00:00:00,EAGLE PHARMS,Prescription,True,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2015/208194Orig1s000TOC.cfm,True,False,True,False,False,-
691,BELVIQ XR,208524,NDA,2016-07-15 00:00:00,EISAI INC,Prescription,True,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2016/208524Orig1s000TOC.cfm,True,False,True,False,False,-
707,BASAGLAR,205692,NDA,2015-12-16 00:00:00,ELI LILLY AND CO,Prescription,False,-,-,-,-,False,False,-
713,BANZEL,201367,NDA,2011-03-03 00:00:00,EISAI INC,Prescription,True,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2011/201367_banzel_toc.cfm,True,False,True,False,False,-
886,AZACITIDINE,208216,NDA,2016-04-29 00:00:00,ACTAVIS LLC,Prescription,False,-,-,-,-,False,False,-
909,AVELOX,21334,NDA,2001-04-27 00:00:00,BAYER PHARMS,Prescription,True,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2001/21-085S10_Avelox.cfm,True,False,False,False,False,-
921,AUVI-Q,201739,NDA,2012-08-10 00:00:00,KALEO INC,Prescription,False,-,-,-,-,False,False,-
944,ATROPINE SULFATE ANSYR PLASTIC SYRINGE,21146,NDA,2001-07-09 00:00:00,HOSPIRA,Prescription,True,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2001/21-146_Atropine.cfm,True,False,False,False,False,-
952,ATRIPLA,21937,NDA,2006-07-12 00:00:00,GILEAD,Prescription,True,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2006/021937TOC2.cfm,True,False,False,False,False,-
1066,ASPIRIN,203697,NDA,2013-01-14 00:00:00,PLX PHARMA,Over-the-counter,True,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2013/203697_aspirin_toc.cfm,True,False,True,False,False,-
1079,ARZERRA,125326,BLA,2009-10-26 00:00:00,GLAXO GRP LTD,Prescription,True,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2009/125326s000TOC.cfm,True,False,True,False,False,-
1085,AROMASIN,20753,NDA,1999-10-21 00:00:00,PHARMACIA AND UPJOHN,Prescription,True,http://www.accessdata.fda.gov/drugsatfda_docs/nda/99/20-753_Aromasin.cfm,True,False,False,False,False,-
1159,ARICEPT ODT,21720,NDA,2004-10-18 00:00:00,EISAI INC,Prescription,True,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2004/021720_s000_AriceptTOC.cfm,True,False,False,False,False,-
1163,ARGATROBAN IN SODIUM CHLORIDE,22485,NDA,2011-05-09 00:00:00,SANDOZ,Prescription,False,-,-,-,-,False,False,-
1164,ARGATROBAN IN SODIUM CHLORIDE,22434,NDA,2011-06-29 00:00:00,EAGLE PHARMS,Prescription,True,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2011/022434_argatroban_toc.cfm,True,False,True,False,False,-
1165,ARGATROBAN IN 0.9% SODIUM CHLORIDE,206769,NDA,2014-12-15 00:00:00,TEVA PHARMS USA,Prescription,True,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2014/206769Orig1s000TOC.cfm,True,False,True,False,False,-
1168,ARGATROBAN,203049,NDA,2012-01-05 00:00:00,HIKMA PHARM CO LTD,Prescription,True,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2012/203049_argatroban_toc.cfm,True,False,True,False,False,-
1170,ARGATROBAN,201811,NDA,2015-03-23 00:00:00,FRESENIUS KABI USA,Prescription,True,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2015/201811Orig1s000TOC.cfm,True,False,True,False,False,-
1180,AREDIA,20927,NDA,1998-09-22 00:00:00,NOVARTIS,Prescription,True,http://www.accessdata.fda.gov/drugsatfda_docs/nda/98/020927.cfm,True,False,False,False,False,-
1216,APLENZIN,22108,NDA,2008-04-23 00:00:00,VALEANT PHARMS NORTH,Prescription,True,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2008/022108s000TOC.cfm,True,False,True,False,False,-
1228,ANTHELIOS SX,21502,NDA,2006-07-21 00:00:00,LOREAL USA,Over-the-counter,True,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2006/021502s000_AntheliosTOC.cfm,True,False,False,False,False,-
1229,ANTHELIOS 40,22009,NDA,2008-03-31 00:00:00,LOREAL USA,Over-the-counter,True,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2008/022009_avobenzone_ecamsule_octocrylene_titanium_dioxide_cream_toc.cfm,True,False,True,False,False,-
1230,ANTHELIOS 20,21471,NDA,2006-10-05 00:00:00,LOREAL USA,Over-the-counter,True,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2006/021471s000TOC.cfm,True,False,False,False,False,-
1233,ANTARA (MICRONIZED),21695,NDA,2004-11-30 00:00:00,LUPIN ATLANTIS,Prescription,True,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2004/021695s000_AntaraTOC.cfm,True,False,False,False,False,-
1264,ANDROGEL,21015,NDA,2000-02-28 00:00:00,ABBVIE,Prescription,True,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2000/21-015_AndroGel.cfm,True,False,False,False,False,-
1392,AMPHADASE,21665,NDA,2004-10-26 00:00:00,AMPHASTAR PHARM,Prescription,True,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2004/21-665_Amphadase.cfm,True,False,False,False,False,-
1393,AMOXIL,50754,NDA,1998-07-10 00:00:00,DR REDDYS LABS INC,Prescription,False,-,-,-,-,False,False,-
1394,AMOXIL,50760,NDA,1999-04-15 00:00:00,DR REDDYS LABS INC,Prescription,True,http://www.accessdata.fda.gov/drugsatfda_docs/nda/99/050760_s000_AmoxilTOC.cfm,True,False,False,False,False,-
1488,AMMONUL,20645,NDA,2005-02-17 00:00:00,MEDICIS,Prescription,True,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2005/020645s000TOC.cfm,True,False,False,False,False,-
1525,AMMONIA N 13,22119,NDA,2007-08-23 00:00:00,FEINSTEIN,Prescription,True,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2007/22119s000TOC.cfm,True,False,False,False,False,-
1713,AMJEVITA,761024,BLA,2016-09-23 00:00:00,AMGEN INC,Prescription,False,-,-,-,-,False,False,-
1954,AMELUZ,208081,NDA,2016-05-10 00:00:00,BIOFRONTERA,Prescription,False,-,-,-,-,False,False,-
2004,ALREX,20803,NDA,1998-03-09 00:00:00,BAUSCH AND LOMB,Prescription,True,http://www.accessdata.fda.gov/drugsatfda_docs/nda/98/020803_alrex_toc.cfm,True,False,False,False,False,-
2062,ALORA,21310,NDA,2002-04-05 00:00:00,WATSON LABS,Prescription,False,-,-,-,-,False,False,-
2099,ALLEGRA-D 24 HOUR ALLERGY AND CONGESTION,21704,NDA,2004-10-19 00:00:00,SANOFI AVENTIS US,Over-the-counter,True,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2004/021704s000_AllegraTOC.cfm,True,False,False,False,False,-
2106,ALLEGRA,21963,NDA,2006-10-16 00:00:00,SANOFI AVENTIS US,Prescription,True,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2006/021963TOC.cfm,True,False,False,False,False,-
2248,ALAWAY,21996,NDA,2006-12-01 00:00:00,BAUSCH AND LOMB,Over-the-counter,True,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2006/021996_alaway_toc.cfm,True,False,False,False,False,-
2249,ALAVERT,21375,NDA,2002-12-19 00:00:00,PFIZER,Over-the-counter,False,-,-,-,-,False,False,-
2262,AKOVAZ,208289,NDA,2016-04-29 00:00:00,FLAMEL IRELAND LTD,Prescription,True,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2016/208289Orig1s000TOC.cfm,True,False,True,False,False,-
2296,ADZENYS XR-ODT,204326,NDA,2016-01-28 00:00:00,NEOS THERAPS,Prescription,False,-,-,-,-,False,False,-
2300,ADVIL CONGESTION RELIEF,22565,NDA,2010-05-27 00:00:00,PFIZER,Over-the-counter,True,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2010/022565s000TOC.cfm,True,False,True,False,False,-
2301,ADVIL COLD AND SINUS,21374,NDA,2002-05-30 00:00:00,PFIZER,Over-the-counter,True,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2002/21-374_Ibuprofen.cfm,True,False,False,False,False,-
2304,ADVIL ALLERGY AND CONGESTION RELIEF,22113,NDA,2011-12-21 00:00:00,PFIZER,Over-the-counter,True,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2011/022113_advil_toc.cfm,True,False,True,False,False,-
2305,ADVIL,201803,NDA,2012-06-12 00:00:00,PFIZER CONS HLTHCARE,Over-the-counter,True,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2012/201803_advil_toc.cfm,True,False,True,False,False,-
2319,ADRENACLICK,20800,NDA,2003-05-30 00:00:00,AMEDRA PHARMS,Prescription,True,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2003/20-800_Twinject.cfm,True,False,False,True,False,-
2356,ADCIRCA,22332,NDA,2009-05-22 00:00:00,ELI LILLY CO,Prescription,True,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2009/022332_adcirca_toc.cfm,True,False,False,False,False,-
2374,ACZONE,207154,NDA,2016-02-24 00:00:00,ALLERGAN INC,Prescription,False,-,-,-,-,False,False,-
2478,ACTOPLUS MET XR,22024,NDA,2009-05-12 00:00:00,TAKEDA PHARMS USA,Prescription,True,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2009/022024_actoplus_met_xr_toc.cfm,True,False,False,False,False,-
