,Name,appNo,appType,approvDate,Company,marketStat,reviewAvailable,reviewPageLink,medReviewAvailable,statReviewAvailable,sumReviewAvailable,PatientPopulationAltered,PPAReviewAvailable,PPAReviewLink
0,AZULFIDINE EN-TABS,21243,NDA,2000-08-18 00:00:00,PHARMACIA UPJOHN,Prescription,True,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2000/21243_Azulfidine.cfm,True,True,False,False,False,-
5,BYETTA,21773,NDA,2005-04-28 00:00:00,ASTRAZENECA AB,Prescription,True,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2005/021773_ByettaTOC.cfm,True,True,False,False,False,-
107,BUSULFEX,20954,NDA,1999-02-04 00:00:00,OTSUKA PHARM,Prescription,True,http://www.accessdata.fda.gov/drugsatfda_docs/nda/99/20954.cfm,True,True,False,False,False,-
343,BRAVELLE,21484,NDA,2002-12-19 00:00:00,FERRING,Prescription,True,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2002/021484_bravelle.cfm,True,True,False,False,False,-
344,BRAVELLE,21289,NDA,2002-05-06 00:00:00,FERRING,Prescription,True,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2002/21-289_Bravelle.cfm,True,True,False,False,False,-
354,BONIVA,21858,NDA,2006-01-06 00:00:00,ROCHE,Prescription,True,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2006/021858s000TOC.cfm,True,True,False,False,False,-
413,BIDIL,20727,NDA,2005-06-23 00:00:00,ARBOR PHARMS LLC,Prescription,True,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2005/020727_s000_BidilTOC.cfm,True,True,False,False,False,-
439,BEXXAR,125011,BLA,2003-06-27 00:00:00,SMITHKLINE BEECHAM,Prescription,True,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2003/125011s000TOC.cfm,True,True,False,False,False,-
442,BEVESPI AEROSPHERE,208294,NDA,2016-04-25 00:00:00,PEARL THERAPS INC,Prescription,False,-,-,-,-,False,False,-
517,BETAPACE AF,21151,NDA,2000-02-22 00:00:00,COVIS PHARMA SARL,Prescription,True,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2000/021151_s000_BetapaceAFTOC.cfm,False,False,False,False,False,-
649,BENZACLIN,50756,NDA,2000-12-21 00:00:00,VALEANT BERMUDA,Prescription,True,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2000/50-756_Benzaclin.cfm,True,True,False,False,False,-
658,BENICAR HCT,21532,NDA,2003-06-05 00:00:00,DAIICHI SANKYO,Prescription,True,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2003/021532_benicar_toc.cfm,True,True,False,False,False,-
660,BENICAR,21286,NDA,2002-04-25 00:00:00,DAIICHI SANKYO,Prescription,True,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2002/21-286_Benicar.cfm,True,True,False,True,False,-
707,BASAGLAR,205692,NDA,2015-12-16 00:00:00,ELI LILLY AND CO,Prescription,False,-,-,-,-,False,False,-
710,BARACLUDE,21798,NDA,2005-03-29 00:00:00,BRISTOL MYERS SQUIBB,Prescription,True,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2005/21797_21798_BaracludeTOC.cfm,True,True,False,True,False,-
811,AZOR,22100,NDA,2007-09-26 00:00:00,DAIICHI SANKYO,Prescription,True,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2007/022100_azor_toc.cfm,True,True,False,False,False,-
812,AZOPT,20816,NDA,1998-04-01 00:00:00,ALCON PHARMS LTD,Prescription,True,http://www.accessdata.fda.gov/drugsatfda_docs/nda/98/020816_azopt.cfm,True,True,False,False,False,-
827,AZILECT,21641,NDA,2006-05-16 00:00:00,TEVA,Prescription,True,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2006/021641s000_AzilectTOC.cfm,True,True,False,False,False,-
881,AZASITE,50810,NDA,2007-04-27 00:00:00,OAK PHARMS INC,Prescription,True,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2007/050810_azasite_toc.cfm,True,True,False,False,False,-
886,AZACITIDINE,208216,NDA,2016-04-29 00:00:00,ACTAVIS LLC,Prescription,False,-,-,-,-,False,False,-
897,AXERT,21001,NDA,2001-05-07 00:00:00,JANSSEN PHARMS,Prescription,True,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2001/21001_Axert.cfm,True,True,False,True,False,-
900,AVODART,21319,NDA,2001-11-20 00:00:00,GLAXOSMITHKLINE,Prescription,True,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2001/21319_Duagen.cfm,True,True,False,False,False,-
902,AVITA,20400,NDA,1998-01-29 00:00:00,MYLAN,Prescription,True,http://www.accessdata.fda.gov/drugsatfda_docs/nda/98/20400.cfm,True,True,False,False,False,-
908,AVELOX IN SODIUM CHLORIDE 0.8% IN PLASTIC CONTAINER,21277,NDA,2001-11-30 00:00:00,BAYER HLTHCARE,Prescription,True,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2001/21277_Avelox.cfm,True,True,False,False,False,-
909,AVELOX,21334,NDA,2001-04-27 00:00:00,BAYER PHARMS,Prescription,True,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2001/21-085S10_Avelox.cfm,True,False,False,False,False,-
910,AVELOX,21085,NDA,1999-12-10 00:00:00,BAYER HLTHCARE,Prescription,True,http://www.accessdata.fda.gov/drugsatfda_docs/nda/99/21-085_Avelox.cfm,True,True,False,False,False,-
