,Name,appNo,appType,approvDate,Company,marketStat,reviewAvailable,reviewPageLink,medReviewAvailable,statReviewAvailable,sumReviewAvailable,PatientPopulationAltered,PPAReviewAvailable,PPAReviewLink
2,AZULFIDINE EN-TABS,7073,NDA,1950-06-20 00:00:00,PHARMACIA AND UPJOHN,Prescription,False,-,-,-,-,False,False,-
179,BUPRENEX,18410,NDA,1981-12-29 00:00:00,NORWICH-EATON PHARMA,Prescription,False,-,-,-,-,False,False,-
180,BUPIVACAINE HYDROCHLORIDE W/EPINEPHRINE,22046,NDA,1983-07-13 00:00:00,HOSPIRA,Prescription,False,-,-,-,-,False,False,-
182,BUPRENEX,18401,NDA,1981-12-29 00:00:00,INDIVIOR INC,Prescription,False,-,-,-,-,False,False,-
210,BUPIVACAINE HYDROCHLORIDE,22046,NDA,1983-07-13 00:00:00,HOSPIRA,Prescription,False,-,-,-,-,False,False,-
211,BUPIVACAINE HYDROCHLORIDE,18053,NDA,1978-04-17 00:00:00,HOSPIRA,Prescription,False,-,-,-,-,False,False,-
216,BUPHENYL,20573,NDA,1996-04-30 00:00:00,HORIZON PHARMA INC,Prescription,False,-,-,-,-,False,False,-
218,BUPHENYL,20572,NDA,1996-05-13 00:00:00,HORIZON PHARMA INC,Prescription,False,-,-,-,-,False,False,-
223,BUMEX,18225,NDA,1983-02-28 00:00:00,VALIDUS PHARMS INC,Prescription,False,-,-,-,-,False,False,-
240,BSS PLUS,18469,NDA,1981-10-28 00:00:00,ALCON,Prescription,False,-,-,-,-,False,False,-
241,BSS,20742,NDA,1997-12-10 00:00:00,ALCON,Prescription,False,-,-,-,-,False,False,-
249,BRONCHO SALINE,19912,NDA,1992-09-03 00:00:00,BLAIREX,Over-the-counter,False,-,-,-,-,False,False,-
314,BREVITAL SODIUM,11559,NDA,1960-06-27 00:00:00,PAR STERILE PRODUCTS,Prescription,False,-,-,-,-,False,False,-
315,BREVICON 28-DAY,17743,NDA,1976-03-29 00:00:00,ALLERGAN SALES LLC,Prescription,False,-,-,-,-,False,False,-
346,BOTOX,103000,BLA,1991-12-09 00:00:00,ALLERGAN,Prescription,False,-,-,-,-,False,False,-
347,BOTOX,103000,BLA,1991-12-09 00:00:00,ALLERGAN,Prescription,False,-,-,-,-,False,False,-
363,BLEPHAMIDE,12813,NDA,1961-09-18 00:00:00,ALLERGAN,Prescription,False,-,-,-,-,False,False,-
399,BIOSCRUB,19822,NDA,1989-03-31 00:00:00,GRIFFEN,Over-the-counter,False,-,-,-,-,False,False,-
411,BILTRICIDE,18714,NDA,1982-12-29 00:00:00,BAYER HLTHCARE,Prescription,False,-,-,-,-,False,False,-
414,BICNU,17422,NDA,1977-03-07 00:00:00,EMCURE PHARMS LTD,Prescription,False,-,-,-,-,False,False,-
416,BICILLIN L-A,50141,NDA,1952-06-27 00:00:00,KING PHARMS,Prescription,False,-,-,-,-,False,False,-
417,BICILLIN C-R 900/300,50138,NDA,1953-05-18 00:00:00,KING PHARMS,Prescription,False,-,-,-,-,False,False,-
423,BICILLIN C-R,50138,NDA,1953-05-18 00:00:00,KING PHARMS,Prescription,False,-,-,-,-,False,False,-
435,BIAXIN,50698,NDA,1993-12-23 00:00:00,ABBVIE,Prescription,False,-,-,-,-,False,False,-
436,BIAXIN,50697,NDA,1993-12-23 00:00:00,ABBOTT,Prescription,False,-,-,-,-,False,False,-
437,BIAXIN,50662,NDA,1991-10-31 00:00:00,ABBVIE,Prescription,False,-,-,-,-,False,False,-
443,BETOPTIC S,19845,NDA,1989-12-29 00:00:00,ALCON,Prescription,False,-,-,-,-,True,False,-
445,BETOPTIC,19270,NDA,1985-08-30 00:00:00,ALCON,Prescription,False,-,-,-,-,False,False,-
446,BETIMOL,20439,NDA,1995-03-31 00:00:00,OAK PHARMS INC,Prescription,False,-,-,-,-,False,False,-
518,BETAPACE,19865,NDA,1992-10-30 00:00:00,COVIS PHARMA SARL,Prescription,False,-,-,-,-,False,False,-
534,BETAMETHASONE VALERATE,18866,NDA,1983-08-31 00:00:00,FOUGERA,Prescription,False,-,-,-,-,False,False,-
535,BETAMETHASONE VALERATE,18865,NDA,1983-08-31 00:00:00,FOUGERA,Prescription,False,-,-,-,-,False,False,-
549,BETAMETHASONE VALERATE,18861,NDA,1983-08-31 00:00:00,FOUGERA,Prescription,False,-,-,-,-,False,False,-
570,BETAMETHASONE DIPROPIONATE,19141,NDA,1984-09-04 00:00:00,FOUGERA,Prescription,False,-,-,-,-,False,False,-
571,BETAMETHASONE DIPROPIONATE,19137,NDA,1984-10-26 00:00:00,FOUGERA PHARMS,Prescription,False,-,-,-,-,False,False,-
575,BETAGAN,19814,NDA,1989-06-28 00:00:00,ALLERGAN,Prescription,False,-,-,-,-,False,False,-
576,BETAGAN,19219,NDA,1985-12-19 00:00:00,ALLERGAN,Prescription,False,-,-,-,-,False,False,-
578,BETADINE,18634,NDA,1986-12-17 00:00:00,ALCON PHARMS LTD,Prescription,False,-,-,-,-,False,False,-
582,BETA-VAL,18642,NDA,1983-03-24 00:00:00,G AND W LABS INC,Prescription,False,-,-,-,-,False,False,-
644,BENZAMYCIN,50557,NDA,1984-10-26 00:00:00,VALEANT INTL,Prescription,False,-,-,-,-,False,False,-
651,BENTYL,8370,NDA,1952-08-13 00:00:00,FOREST LABS INC,Prescription,False,-,-,-,-,False,False,-
652,BENTYL,8370,NDA,1952-08-13 00:00:00,FOREST LABS INC,Prescription,False,-,-,-,-,False,False,-
653,BENTYL,7409,NDA,1950-05-11 00:00:00,FOREST LABS INC,Prescription,False,-,-,-,-,False,False,-
