statReviewAvailable,PPAReviewAvailable,Name,appType,PPAReviewLink,Company,reviewAvailable,marketStat,appNo,approvDate,reviewPageLink,sumReviewAvailable,PatientPopulationAltered,medReviewAvailable
True,False,AZULFIDINE EN-TABS,NDA,-,PHARMACIA UPJOHN,True,Prescription,21243,2000-08-18,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2000/21243_Azulfidine.cfm,False,False,True
True,False,BYVALSON,NDA,-,FOREST LABS LLC,True,Prescription,206302,2016-06-03,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2016/206302Orig1ByvalsonTOC.cfm,True,False,True
-,False,AZULFIDINE EN-TABS,NDA,-,PHARMACIA AND UPJOHN,False,Prescription,7073,1950-06-20,-,-,False,-
True,False,BYSTOLIC,NDA,-,FOREST LABS,True,Prescription,21742,2007-12-17,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2007/021742s000TOC.cfm,True,False,True
True,False,BYETTA,NDA,-,AMYLIN,True,Prescription,21919,2009-10-30,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2009/021919_byetta_toc.cfm,True,False,True
True,False,BYETTA,NDA,-,ASTRAZENECA AB,True,Prescription,21773,2005-04-28,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2005/021773_ByettaTOC.cfm,False,False,True
True,False,BYDUREON PEN,NDA,-,ASTRAZENECA AB,True,Prescription,22200,2012-01-27,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2012/022200Orig1s000TOC.cfm,True,False,True
-,-,BUTORPHANOL TARTRATE PRESERVATIVE FREE,-,-,-,-,Discontinued,74620,-,-,-,-,-
-,-,BUTORPHANOL TARTRATE PRESERVATIVE FREE,-,-,-,-,Discontinued,75170,-,-,-,-,-
-,-,BUTORPHANOL TARTRATE PRESERVATIVE FREE,-,-,-,-,Discontinued,75695,-,-,-,-,-
-,-,BUTORPHANOL TARTRATE PRESERVATIVE FREE,ANDA,-,EUROHLTH INTL SARL,-,Prescription,75045,1998-08-12,-,-,-,-
-,-,BUTORPHANOL TARTRATE PRESERVATIVE FREE,ANDA,-,HOSPIRA,-,Prescription,74626,1997-01-23,-,-,-,-
True,False,BUTRANS,NDA,-,PURDUE PHARMA LP,True,Prescription,21306,2010-06-30,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2010/021306_butrans_toc.cfm,True,False,True
-,-,BUTORPHANOL TARTRATE,-,-,-,-,Discontinued,75342,-,-,-,-,-
-,-,BUTORPHANOL TARTRATE,-,-,-,-,Discontinued,75559,-,-,-,-,-
-,-,BUTORPHANOL TARTRATE,-,-,-,-,Discontinued,75697,-,-,-,-,-
-,-,BUTORPHANOL TARTRATE,-,-,-,-,Discontinued,78247,-,-,-,-,-
-,-,BUTORPHANOL TARTRATE,ANDA,-,HIKMA FARMACEUTICA,-,Prescription,78400,2009-05-01,-,-,-,-
-,-,BUTOCONAZOLE NITRATE,NDA,-,PERRIGO PHARMA INTL,-,Discontinued,19881,1997-02-07,-,-,-,-
-,-,BUTORPHANOL TARTRATE,ANDA,-,ROXANE,-,Prescription,75824,2002-03-12,-,-,-,-
-,-,BUTORPHANOL TARTRATE,ANDA,-,MYLAN,-,Prescription,75759,2001-08-08,-,-,-,-
-,-,BUTORPHANOL TARTRATE,ANDA,-,APOTEX INC,-,Prescription,75499,2002-12-04,-,-,-,-
-,-,BUTORPHANOL TARTRATE,ANDA,-,EUROHLTH INTL SARL,-,Prescription,75046,1998-08-12,-,-,-,-
-,-,BUTISOL SODIUM,-,-,-,-,Discontinued,85380,-,-,-,-,-
-,-,BUTISOL SODIUM,NDA,-,MEDA PHARMS,-,Discontinued,793,1939-06-05,-,-,-,-
-,-,BUTICAPS,ANDA,-,MEDPOINTE PHARM HLC,-,Discontinued,85381,-,-,-,-,-
-,-,BUTAPAP,-,-,-,-,Discontinued,89988,-,-,-,-,-
-,-,BUTAZOLIDIN,NDA,-,NOVARTIS,-,Discontinued,8319,-,-,-,-,-
-,-,BUTAPAP,ANDA,-,MIKART,-,Prescription,89987,1992-10-26,-,-,-,-
-,-,"BUTALIBITAL, ACETAMINOPHEN AND CAFFEINE",ANDA,-,GILBERT LABS,-,Discontinued,88825,-,-,-,-,-
-,-,BUTALBITAL; ACETAMINOPHEN; CAFFEINE; CODEINE,ANDA,-,ABLE,-,Discontinued,76528,2003-08-21,-,-,-,-
-,-,"BUTALBITAL, ASPIRIN, CAFFEINE, AND CODEINE PHOSPHATE",-,-,-,-,Discontinued,74359,-,-,-,-,-
-,-,"BUTALBITAL, ASPIRIN, CAFFEINE, AND CODEINE PHOSPHATE",-,-,-,-,Discontinued,75351,-,-,-,-,-
-,-,"BUTALBITAL, ASPIRIN, CAFFEINE, AND CODEINE PHOSPHATE",ANDA,-,NEXGEN PHARMA INC,-,Prescription,75231,2001-11-30,-,-,-,-
-,-,"BUTALBITAL, ASPIRIN, CAFFEINE AND CODEINE PHOSPHATE",ANDA,-,MAYNE PHARMA INC,-,Prescription,203335,2015-10-30,-,-,-,-
